key,en,ja
language.english,English,英語
language.japanese,Japanese,日本語
language.toggle,Language,言語
ui.main_menu,Main Menu,メインメニュー
ui.mode_select,Mode Select,モード選択
ui.codex,Codex,図鑑
ui.vs_ai_racers,VS AI Racers,AIレーサーと対戦
ui.local_2_player,Local 2 Player,ローカル2人対戦
ui.online_2_player,Online 2 Player,オンライン2人対戦
ui.subtitle,Tactical Drift Card Battles,戦略型ドリフトカードバトル
ui.loading_csv_data,Loading CSV data...,CSVデータを読み込み中...
ui.cards_status,Driving Cards: {cards} / Corner Cards: {corners},ドライビングカード: {cards} / コーナーカード: {corners}
ui.live,Live,ライブ
ui.fallback,Fallback,内蔵
ui.run_live_csv,Run start_arcade_racing.cmd for live CSV,ライブCSVを使うには start_arcade_racing.cmd を実行
ui.matchmaking,Matchmaking,マッチメイキング
ui.room_matchmaking,Room Matchmaking,ルームマッチメイキング
ui.choose_role,Choose Role,役割を選択
ui.host,Host,ホスト
ui.guest,Guest,ゲスト
ui.create_room,Create Room,ルーム作成
ui.join_room,Join Room,ルーム参加
ui.host_room_help,Generate a room key, wait for the guest to connect, then start once their ready light is on.,ルームキーを生成し、ゲストの接続と準備完了を待ってから開始します。
ui.join_room_help,Enter the host room key. Once connected, mark ready and wait for the host to launch setup.,ホストのルームキーを入力し、接続後に準備完了を送って開始を待ちます。
ui.host_a_room,Host A Room,ルームを作成
ui.room_key,Room Key,ルームキー
ui.connected,Connected,接続済み
ui.waiting,Waiting,待機中
ui.ready,Ready,準備
ui.locked_in,Locked In,ロック済み
ui.not_yet,Not Yet,未完了
ui.start_setup,Start Setup,セットアップ開始
ui.join_as_guest,Join As Guest,ゲストとして参加
ui.found,Found,検出
ui.searching,Searching,検索中
ui.sent,Sent,送信済み
ui.open,Open,未送信
ui.mark_ready,Mark Ready,準備完了
ui.back_to_title,Back to Title,タイトルへ戻る
ui.race_setup,Race Setup,レースセットアップ
ui.course_machine_select,Course & Machine Select,コース＆マシン選択
ui.player_course_pick,Player 1 Course Pick,プレイヤー1 コース選択
ui.tutorial,Tutorial,チュートリアル
ui.tutorial_on,Tutorial On,チュートリアル オン
ui.tutorial_off,Tutorial Off,チュートリアル オフ
ui.choose_machine,Choose Machine,マシンを選択
ui.waiting_ellipsis,Waiting...,待機中...
ui.cpu_machine_locked,CPU machine locked.,CPUマシンは固定です。
ui.remote_player_machine_slot,Remote player machine slot.,リモートプレイヤーのマシン枠です。
ui.select_from_machine_grid,Select from machine grid.,マシングリッドから選択してください。
ui.press_panel_machine,Press panel, then press any machine,パネルを押してからマシンを選択
ui.machine_number,Machine {number},マシン {number}
ui.start_your_engines,Start Your Engines,エンジン始動
ui.waiting_host_start,Waiting for host to start,ホストの開始を待っています
ui.player_choose_machine,{player}: choose machine,{player}: マシンを選択
ui.down,Down,下り
ui.up,Up,上り
ui.cards_count,{count} cards,{count}枚
ui.speed,Speed,速度
ui.gear,Gear,ギア
ui.leading,Leading,先行
ui.following,Following,追走
ui.played_card,Played Card,使用カード
ui.discard,Discard,捨て札
ui.deck,Deck,山札
ui.face_down,Face Down,伏せ札
ui.draw,Draw,ドロー
ui.discard_pile,Discard Pile ({count}),捨て札 ({count})
ui.close,Close,閉じる
ui.no_discarded_cards,No discarded cards,捨て札はありません
ui.recenter,Recenter,中央へ戻す
ui.neck_and_neck,Neck and Neck,サイドバイサイド
ui.lock_in,Lock In,セット
ui.reveal,Reveal,公開
ui.move_order,Move Order,移動順
ui.cards_locked_in,Cards Locked In,カードセット完了
ui.simultaneous_reveal,Simultaneous Reveal,同時公開
ui.action_order_set,Action Order Set,行動順決定
ui.both_commit_face_down,Both drivers commit face down.,両ドライバーがカードを伏せて選択しました。
ui.cards_flip_together,Both cards flip together. Comparing pre-effect speed...,両方のカードを同時に公開。効果前の速度を比較中...
ui.first_step_decided,The first movement step is decided before card effects resolve.,最初の移動順はカード効果の解決前に決まります。
ui.no_card,No Card,カードなし
ui.first_movement_step,First Movement Step,最初の移動
ui.moves_first,{player} moves first,{player} が先に移動
ui.then_alternates,Then movement alternates one point at a time.,その後は1ポイントずつ交互に移動します。
ui.close_banner_start_movement,Close Banner & Start Movement,バナーを閉じて移動開始
ui.waiting_host_movement,Waiting for host to start movement,ホストの移動開始を待っています
ui.ai_thinking,AI is thinking...,AIが考え中...
ui.bonus_turn,Bonus turn,ボーナスターン
ui.waiting_for_player,Waiting for {player},{player} を待っています
ui.slipstream_available,Slipstream Available,スリップストリーム発生
ui.take_slipstream,Take (+10 km/h),使う (+10 km/h)
ui.refuse,Refuse,断る
ui.torque_split,Torque Split,トルクスプリット
ui.micro_correction,Micro Correction,マイクロコレクション
ui.change_shift,Change Shift,シフトチェンジ
ui.choose_speed_or_check,Choose speed now or corner limit this turn.,今すぐ速度を上げるか、このターンのコーナー速度上限を上げます。
ui.choose_speed_adjustment,Choose speed adjustment after the speed check.,速度チェック後の速度調整を選びます。
ui.choose_shift_direction,Choose shift direction.,シフト方向を選びます。
ui.speed_plus,Speed +{amount},速度 +{amount}
ui.speed_minus,Speed -{amount},速度 -{amount}
ui.check_plus,Check +{amount},チェック +{amount}
ui.lock_card_face_down,Lock in 1 Card Face Down!,カード1枚を伏せてセット！
ui.play_driving_card,Play 1 Driving Card,ドライビングカードを1枚プレイ
ui.hand_locked_rival,Hand Locked During Rival Turn,相手ターン中は手札ロック
ui.hand_locked_movement,Hand Locked During Movement,移動中は手札ロック
ui.skip_refresh,Skip/Refresh,スキップ / 手札更新
ui.select_discard_optional,Select cards to discard (Optional),捨てるカードを選択（任意）
ui.confirm_discard,Confirm Discard,捨て札を確定
ui.required_discard,Required Discard,必須ディスカード
ui.optional_hand_cycling,Optional Hand Cycling,任意の手札入れ替え
ui.discard_n_card,discard {count} card,{count}枚捨てる
ui.discard_up_to_n_card,discard up to {count} card,最大{count}枚捨てる
ui.selected_refills,Selected cards go to your discard pile. Your hand refills at turn end.,選んだカードは捨て札に置かれます。ターン終了時に手札を補充します。
ui.discard_continue,Discard {count} & Continue,{count}枚捨てて続行
ui.select_card,Select Card,カードを選択
ui.keep_hand_continue,Keep Hand & Continue,手札を保持して続行
ui.race_radio,Race Radio,レース無線
ui.overtake,Overtake!,オーバーテイク！
ui.takes_lead,{player} takes the lead!,{player} が先頭に立った！
ui.suffers_penalty,{player} suffers {penalty},{player} は {penalty} のペナルティ
ui.finish_wins,Finish - {player} Wins!,フィニッシュ - {player} の勝利！
ui.racing_cards,Racing Cards,レーシングカード
ui.road_cards,Road Cards,ロードカード
ui.debug_map,Debug Map,デバッグマップ
ui.card_archive,Card Archive,カードアーカイブ
ui.cards_label,{count} Cards,{count}枚
ui.race_scale_geometry,race-scale geometry,レーススケール形状
ui.effect,Effect,効果
ui.entry,Entry {count},入口 {count}
ui.exit,Exit {count},出口 {count}
ui.weight,Weight {count},重み {count}
ui.segment,Segment {count},セグメント {count}
ui.straight_spaces,Straight / {count} spaces,直線 / {count}マス
ui.degree_curve,{angle} degree {direction} curve,{angle}度 {direction} カーブ
ui.radius_inner_outer_limit,Radius {radius} / Inner {inner} spaces / Outer {outer} spaces / Speed limit {limit} km/h,半径 {radius} / 内側 {inner}マス / 外側 {outer}マス / 速度制限 {limit} km/h
ui.selection_locked,Selection locked,選択ロック済み
ui.select,Select,選択
ui.player_1_short,1P,1P
ui.player_2_short,2P,2P
ui.player_2_net_short,2P NET,2P通信
ui.cpu,CPU,CPU
ui.go_first,Go First,先攻
ui.go_second,Go Second,後攻
ui.ai_normal,Normal,通常
ui.ai_hard,Hard,ハード
ui.ai_cheat,Cheat,チート
ui.tutorial_skip,Skip Tutorial,チュートリアルをスキップ
ui.got_it,Got It,了解
ui.movement_step,Movement Step,移動ステップ
ui.lock_in_card,Lock In Card,カードをセット
ui.turn_start,Turn Start,ターン開始
ui.player_plays,{player} Plays,{player} がプレイ
course.region.gunma,Gunma,群馬
course.region.kanagawa,Kanagawa,神奈川
course.region.unknown,Unknown,不明
course.difficulty.technical,Technical,テクニカル
course.difficulty.balanced,Balanced,バランス
course.difficulty.high_speed,High Speed,ハイスピード
course.difficulty.variable,Variable,可変
course.length.short,Short,ショート
course.length.medium,Medium,ミドル
course.length.long,Long,ロング
online.guest_connected_waiting_ready,Guest connected. Waiting for ready signal.,ゲスト接続済み。準備完了を待っています。
online.connected_mark_ready,Connected to host. Mark ready when you are set.,ホストに接続しました。準備ができたら完了を送ってください。
online.connection_closed,Connection closed. Rejoin or host a new room.,接続が閉じました。再参加するか新しいルームを作成してください。
online.peer_error,Peer connection error. Check the room key or retry.,ピア接続エラーです。ルームキーを確認して再試行してください。
online.broker_unavailable,Online broker unavailable. Same-browser fallback is still active.,オンライン仲介サーバーが利用できません。同一ブラウザ用フォールバックは有効です。
online.networking_unavailable,Online networking could not load. Same-browser fallback is still active.,オンライン通信を読み込めません。同一ブラウザ用フォールバックは有効です。
online.guest_ready_start_setup,Guest is ready. You can start the race setup.,ゲストの準備が完了しました。レースセットアップを開始できます。
online.share_room_key,Share this room key with your guest.,このルームキーをゲストに共有してください。
online.enter_room_key,Enter a room key first.,先にルームキーを入力してください。
online.looking_for_host,Looking for host...,ホストを探しています...
online.ready_sent,Ready sent. Waiting for the host to start.,準備完了を送信しました。ホストの開始を待っています。
log.race_started,Race started! Player 1 is the Lead Player.,レース開始！Player 1 が先行プレイヤーです。
log.locked_card,{player} locked in a card.,{player} がカードを伏せてセットしました。
log.played_card,{player} played {card}.,{player} が「{card}」をプレイしました。
log.may_play_another,{player} may play another card.,{player} は追加でカードをプレイできます。
log.skips_card,{player} skips card play.,{player} はカードプレイをスキップしました。
log.discarded_cards,{player} discarded {count} cards.,{player} が {count} 枚捨てました。
log.cycles_cards,{player} cycles {count} card.,{player} が {count} 枚入れ替えました。
log.takes_slipstream,{player} takes the Slipstream! (+10 km/h),{player} がスリップストリームを使った！(+10 km/h)
log.declined_slipstream,{player} declined the Slipstream.,{player} はスリップストリームを断りました。
log.no_room,NO ROOM: {opponent} blocks {player} from entering that lane.,NO ROOM: {opponent} が {player} の進入をブロック。
log.blocked_by,{player} is blocked by {opponent}!,{player} は {opponent} にブロックされた！
log.chrome_bumper,CHROME BUMPER: {opponent} loses 40 km/h.,CHROME BUMPER: {opponent} は 40 km/h 失う。
log.door_slam,DOOR SLAM: {opponent} loses 20 km/h and remaining move points.,DOOR SLAM: {opponent} は 20 km/h と残り移動ポイントを失う。
log.shove_aside,SHOVE ASIDE: {player} forces {opponent} out of the lane.,SHOVE ASIDE: {player} が {opponent} をレーン外へ押し出した。
log.shove_aside_no_space,SHOVE ASIDE: no space. Both cars spin off and lose remaining move points.,SHOVE ASIDE: 空きなし。両車スピンオフし残り移動ポイントを失う。
log.blind_attack,BLIND ATTACK: {player} switches lanes and keeps momentum.,BLIND ATTACK: {player} がレーン変更し勢いを維持。
log.matches_speed,{player} matches speed to {speed}.,{player} が速度を {speed} に合わせた。
log.balanced_chassis,BALANCED CHASSIS: {player} discards 1 card for a free side step.,BALANCED CHASSIS: {player} が1枚捨ててフリー横移動。
log.trail_braking,TRAIL BRAKING: {player} sheds 10 km/h before the speed check.,TRAIL BRAKING: {player} が速度チェック前に 10 km/h 減速。
log.traction_control,TRACTION CONTROL: {player} loses 20 km/h and cancels understeer.,TRACTION CONTROL: {player} が 20 km/h 失いアンダーステアをキャンセル。
log.full_countersteer,FULL COUNTERSTEER: {player} discards 1 card and cancels understeer.,FULL COUNTERSTEER: {player} が1枚捨ててアンダーステアをキャンセル。
log.understeer,UNDERSTEER: {player} speed {speed} exceeds limit {limit}.,UNDERSTEER: {player} の速度 {speed} が制限 {limit} を超過。
log.crash_guardrail,CRASH: {player} hits the guardrail. (-1 Gear, remaining move points lost),CRASH: {player} がガードレールに接触。(-1ギア、残り移動ポイント喪失)
log.spin_off,SPIN OFF: {player} leaves the road. (-2 Gears, remaining move points lost),SPIN OFF: {player} がコースアウト。(-2ギア、残り移動ポイント喪失)
log.collision,COLLISION: {player} side-swipes {opponent}.,COLLISION: {player} が {opponent} と接触。
log.progressive_acceleration,PROGRESSIVE ACCELERATION: {player} gains 10 km/h.,PROGRESSIVE ACCELERATION: {player} が 10 km/h 加速。
log.rocket_start,ROCKET START: {player} gains {amount} km/h.,ROCKET START: {player} が {amount} km/h 加速。
log.exit_drift,EXIT DRIFT: {player} gains 30 km/h.,EXIT DRIFT: {player} が 30 km/h 加速。
log.early_power,EARLY POWER: {player} gains 40 km/h.,EARLY POWER: {player} が 40 km/h 加速。
log.burn_rubber,BURN RUBBER: {player} gains 60 km/h and discards all cards.,BURN RUBBER: {player} が 60 km/h 加速し、カードをすべて捨てる。
log.overtake_lead,OVERTAKE: {player} takes the lead!,OVERTAKE: {player} が先頭に立った！
log.nn_complete,-- N&N Complete. {player} is Lead. --,-- サイドバイサイド終了。{player} が先行。--
log.round_end,-- Round End. {player} is Lead. --,-- ラウンド終了。{player} が先行。--
log.nn_locked,NECK AND NECK: Both cards are locked in.,サイドバイサイド: 両者カードセット完了。
log.nn_engaged,NECK AND NECK ENGAGED!,サイドバイサイド突入！
card.type.gas,Gas,アクセル
card.type.brake,Brake,ブレーキ
card.type.turn,Turn,コーナリング
card.type.attack,Attack,アタック
card.timing.before,Before,移動前
card.timing.drive,Drive,走行中
card.timing.after,After,移動後
card.timing.step,Step,ステップ
card.requirement.none,None,なし
card.requirement.any,Any,制限なし
card.requirement.min,Min {value} km/h,{value} km/h 以上
card.requirement.max,Max {value} km/h,{value} km/h 以下
card.drift.name,Drift,ドリフト
card.drift.effect,+30 km/h to the speed check this turn.,このターンの速度チェックに +30 km/h。
card.full_throttle.name,Full throttle,フルスロットル
card.full_throttle.effect,Speed +40 km/h.,速度 +40 km/h。
card.back_down.name,Back down,バックダウン
card.back_down.effect,Speed -20 km/h. Discard 1 card.,速度 -20 km/h。カードを1枚捨てる。
card.hard_brake.name,Hard Brake,ハードブレーキ
card.hard_brake.effect,Speed -50 km/h.,速度 -50 km/h。
card.change_lane.name,Change Lane,レーンチェンジ
card.change_lane.effect,Move to the other lane. Discard 1 card.,反対レーンへ移動。カードを1枚捨てる。
card.early_brake_cornering.name,Early Brake Cornering,早めブレーキコーナリング
card.early_brake_cornering.effect,Speed -20 km/h. Move to the inner lane.,速度 -20 km/h。イン側レーンへ移動。
card.rocket_start.name,Rocket Start,ロケットスタート
card.rocket_start.effect,Speed +50 km/h. You may discard 2 cards.,速度 +50 km/h。カードを2枚まで捨ててもよい。
card.change_shift.name,Change Shift,シフトチェンジ
card.change_shift.effect,Speed +10 km/h or -10 km/h. You may then play another card.,速度 +10 km/h または -10 km/h。その後、追加でカードを1枚プレイしてもよい。
card.clutch_kick.name,Clutch Kick,クラッチキック
card.clutch_kick.effect,Speed +20 km/h. This turn, your first speed check gains +50 km/h.,速度 +20 km/h。このターン最初の速度チェックに +50 km/h。
card.trail_braking.name,Trail Braking,トレイルブレーキング
card.trail_braking.effect,Before each speed check this turn, you may reduce Speed by 10 km/h.,このターン各速度チェックの前に速度を 10 km/h 下げてもよい。
card.full_countersteer.name,Full Countersteer,フルカウンター
card.full_countersteer.effect,If you would understeer this turn, discard 1 card and cancel that understeer once.,このターンにアンダーステアする場合、カードを1枚捨てて1回だけキャンセルする。
card.exit_drift.name,Exit Drift,立ち上がりドリフト
card.exit_drift.effect,"If you moved through at least 1 speed check space this turn, Speed +30 km/h.",このターン速度チェックマスを1つ以上通過していたら速度 +30 km/h。
card.drift_extend.name,Drift Extend,ドリフト延長
card.drift_extend.effect,If you gain corner speed bonus last turn, it also applies to the speed check this turn.,前ターンにコーナー速度ボーナスを得ていたら、このターンの速度チェックにも適用する。
card.gutter_boost.name,Gutter Boost,溝落としブースト
card.gutter_boost.effect,"If you are on the inner lane, +50 km/h to the corner speed limit calculation.",イン側レーンにいるならコーナー速度制限計算に +50 km/h。
card.blind_attack.name,Blind Attack,ブラインドアタック
card.blind_attack.effect,"Discard all cards in your hand. If you get blocked, move to the other lane and gain 1 move point.",手札をすべて捨てる。ブロックされたら反対レーンへ移動し、移動ポイントを1得る。
card.jump_exit.name,Jump Exit,ジャンプエグジット
card.jump_exit.effect,"You have 4 move points this turn regardless of your gear, ignore the corner speed limit.",このターンはギアに関係なく移動ポイント4。コーナー速度制限を無視する。
card.progressive_acceleration.name,Progressive Acceleration,プログレッシブ加速
card.progressive_acceleration.effect,"After each move this turn, Speed +10 km/h.",このターン移動するたびに速度 +10 km/h。
card.early_power.name,Early Power,早踏みアクセル
card.early_power.effect,"If you passed all speed checks this turn, Speed +40 km/h.",このターンすべての速度チェックを通過していたら速度 +40 km/h。
card.traction_control.name,Traction Control,トラクションコントロール
card.traction_control.effect,"If you would understeer this turn, reduce your speed by 20 km/h and cancel that understeer.",このターンにアンダーステアする場合、速度を 20 km/h 下げてキャンセルする。
card.grip_line.name,Grip Line,グリップライン
card.grip_line.effect,+20 km/h to the speed check this turn. Discard 1 card.,このターンの速度チェックに +20 km/h。カードを1枚捨てる。
card.balanced_chassis.name,Balanced Chassis,バランスシャシー
card.balanced_chassis.effect,"Once this turn, you may move sideways by discard 1 card.",このターン1回、カードを1枚捨てて横移動してもよい。
card.torque_split.name,Torque Split,トルクスプリット
card.torque_split.effect,"Choose one: Speed +30 km/h, or +40 km/h to the speed check this turn.","どちらかを選ぶ: 速度 +30 km/h、またはこのターンの速度チェックに +40 km/h。"
card.micro_correction.name,Micro Correction,マイクロコレクション
card.micro_correction.effect,"After each speed check this turn, you may choose Speed +10 km/h or Speed -10 km/h.",このターン各速度チェック後、速度 +10 km/h または -10 km/h を選んでもよい。
card.line_lock.name,Line Lock,ラインロック
card.line_lock.effect,"While you remain in your current lane , all speed checks gain +30 km/h this turn.",現在のレーンに留まっている間、このターンすべての速度チェックに +30 km/h。
card.raw_horsepower.name,Raw Horsepower,剛力馬力
card.raw_horsepower.effect,Speed +50 km/h. You may only move forward this turn.,速度 +50 km/h。このターン前進のみ可能。
card.straight_line_monster.name,Straight-Line Monster,直線番長
card.straight_line_monster.effect,"If you are on a straight, Speed +40 km/h. Otherwise, Speed +20 km/h",直線上なら速度 +40 km/h。それ以外なら速度 +20 km/h。
card.panic_stop.name,Panic Stop,パニックストップ
card.panic_stop.effect,Speed -80km/h. Discard all cards from hand.,速度 -80 km/h。手札をすべて捨てる。
card.chrome_bumper.name,Chrome Bumper,クロームバンパー
card.chrome_bumper.effect,"When you get blocked, discard 1 card, then the blocking car loses 40 km/h.",ブロックされた時、カードを1枚捨てる。その後ブロックした車は 40 km/h 失う。
card.shove_aside.name,Shove Aside,押しのけ
card.shove_aside.effect,"Move the blocking car to the other lane. You may enter the space it left. If it cannot move, both cars spin-off.",ブロックした車を反対レーンへ移動させる。空いたマスに進入してもよい。移動できなければ両車スピンオフ。
card.burn_rubber.name,Burn Rubber,バーンラバー
card.burn_rubber.effect,If you overtake this turn, Speed +60 km/h. Discard all cards.,このターンにオーバーテイクしたら速度 +60 km/h。カードをすべて捨てる。
card.door_slam.name,Door Slam,ドアスラム
card.door_slam.effect,Move to the other lane. If you get blocked the blocking car loses 20 km/h and all his remaining move points.,反対レーンへ移動。ブロックされたら、ブロックした車は 20 km/h と残り移動ポイントをすべて失う。
card.no_room.name,No Room,ノールーム
card.no_room.effect,Other cars cannot move into your lane until next turn.,次のターンまで他の車はあなたのレーンに入れない。
road.sweeper.name,Sweeper,高速コーナー
road.hairpin.name,Hairpin,ヘアピン
road.chicane.name,Chicane,シケイン
road.increasing_radius.name,Increasing Radius,拡大R
road.decreasing_radius.name,Decreasing Radius,縮小R
road.double_apex.name,Double Apex,ダブルエイペックス
road.corner_90.name,90 Deg Corner,90度コーナー
car.ae86.specialty,Lightweight balance. Predictable drifts and fast line changes.,軽量バランス型。読みやすいドリフトと素早いライン変更が得意。
car.huracan.specialty,Explosive exits. Strong grip when power comes down early.,立ち上がり加速が強烈。早めに踏んだ時のグリップが強い。
car.porsche911.specialty,Rear-engine traction. Precise corrections through technical bends.,リアエンジンのトラクション。テクニカルな連続コーナーで精密に修正できる。
car.mustang.specialty,Raw straight-line power. Built to pressure rivals door to door.,荒々しい直線パワー。横並びでライバルに圧をかけるためのマシン。
tutorial.race-start.title,Race Start,レース開始
tutorial.race-start.body,"This is the full race view. Your goal is simple: cross the finish before your rival. The driver currently in front is the Lead Driver, which matters because the lead usually acts first each turn. If someone overtakes, that order can change.",これがレース全体画面です。目的はシンプル、ライバルより先にフィニッシュすること。現在前にいるドライバーがリードドライバーで、通常は各ターン先に行動します。追い抜きが起きると順番は変わります。
tutorial.speedometer.title,"Speed, Gear, and MP",速度・ギア・MP
tutorial.speedometer.body,"The speedometer is your main status panel. Speed is how fast your car is moving, Gear is the speed band you are in, and MP means Move Points. Higher speed gives you a higher gear and more MP, but it also makes tight corners more dangerous.",スピードメーターは主な状態パネルです。速度は車の速さ、ギアは速度帯、MPは移動ポイントです。速度が高いほどギアとMPは増えますが、タイトなコーナーは危険になります。
tutorial.turn-flow.title,"One Turn, Two Drivers",1ターン、2人のドライバー
tutorial.turn-flow.body,"A normal round starts with the Lead Driver, then alternates to the Following Driver. On your turn you choose a card or skip, resolve any card choices, move using MP, then clean up and draw back up to 4 cards. After both drivers act, the game checks who is leading and starts the next round.",通常ラウンドはリードドライバーから始まり、その後フォロードライバーへ移ります。自分のターンではカードを選ぶかスキップし、選択効果を解決し、MPで移動し、最後に手札が4枚になるまで引きます。両者が行動したら先行を確認して次ラウンドへ進みます。
tutorial.hand.title,Driving Cards,ドライビングカード
tutorial.hand.body,"These are your driving cards: the moves your driver can commit to before the car moves. Gas cards build speed, Brake cards slow you down, Turn cards help with cornering and lane control, and Attack cards pressure the other racer.",これがドライビングカードです。車が動く前にドライバーが選ぶアクションです。アクセルは加速、ブレーキは減速、コーナリングはレーン制御、アタックは相手にプレッシャーをかけます。
tutorial.card-requirements.title,Card Requirements,カード条件
tutorial.card-requirements.body,"Some cards have speed requirements, such as Min 60 or Max 80. That means the card only works when your current speed is inside that range. If a card is dimmed, your car is not in the right speed window yet.",カードには「60以上」「80以下」などの速度条件があります。現在速度がその範囲にある時だけ使えます。暗く表示されているカードは、まだ条件を満たしていません。
tutorial.skip-turn.title,Skip/Refresh,スキップ / 手札更新
tutorial.skip-turn.body,"Skip/Refresh means you choose not to play a driving card this turn and instead move into the discard step. Use it when your hand is awkward: discard cards you do not want, dig deeper into the deck, then draw back up to 4 cards at the end of the turn.",スキップ / 手札更新は、このターンにドライビングカードを使わず捨て札ステップへ進む選択です。手札が悪い時に不要なカードを捨て、山札を掘り進め、ターン終了時に4枚まで補充できます。
tutorial.movement.title,Move Points,移動ポイント
tutorial.movement.body,"Move Points, or MP, are the number of spaces your car can spend this movement step. The highlighted spaces are legal choices right now. Moving forward advances the race, while changing lanes can set up a cleaner corner line or an overtake.",移動ポイント（MP）は、この移動ステップで使えるマス数です。ハイライトされたマスが現在選べる合法手です。前進すれば距離を稼ぎ、レーン変更はきれいなラインや追い抜きにつながります。
tutorial.speed-limit.title,Corner Speed Limits,コーナー速度制限
tutorial.speed-limit.body,"A corner speed limit is the safe speed for that part of the road. Red asphalt and roadside signs mark speed checks. If your speed is above the limit when you pass one, the car understeers: it pushes wide and takes a penalty.",コーナー速度制限は、その区間を安全に通れる速度です。赤い路面と道路標識が速度チェックを示します。通過時に速度が上限を超えているとアンダーステアし、外へ膨らんでペナルティを受けます。
tutorial.slipstream.title,Slipstream,スリップストリーム
tutorial.slipstream.body,"Slipstream is the draft behind another car. When you are following in the same lane, you can use that pocket of air to gain speed. It is a catch-up tool, but extra speed can also make the next corner riskier.",スリップストリームは前車の後ろにできる気流です。同じレーンで追走している時、それを使って加速できます。追いつくための手段ですが、増えた速度は次のコーナーのリスクにもなります。
tutorial.neck-and-neck.title,Neck and Neck,サイドバイサイド
tutorial.neck-and-neck.body,"Neck and Neck means both racers are side by side and fighting for the same stretch of road. In this state, both drivers commit cards face down, reveal together, then alternate movement one point at a time.",サイドバイサイドは両車が横並びで同じ区間を争っている状態です。この状態では両ドライバーがカードを伏せて選び、同時に公開し、1ポイントずつ交互に移動します。
tutorial.nn-action-order.title,Simultaneous Reveal,同時公開
tutorial.nn-action-order.body,"During the reveal, both face-down cards are shown before movement begins. The first movement step is decided by the cars before card effects fully resolve: higher speed acts first, then the inside lane wins ties, and if it is still tied the previous order is used.",公開時には、移動開始前に両方の伏せカードを見せます。最初の移動順はカード効果の完全解決前に決まり、速度が高い車が先、同速ならイン側、さらに同じなら前回の順番を使います。
tutorial.overtake.title,Overtakes,オーバーテイク
tutorial.overtake.body,"An overtake happens when one car passes the other on the road. It is more than a flashy moment: it can change who counts as the Lead Driver, which usually changes who acts first on the next turn.",オーバーテイクは一台がもう一台を追い抜いた時に起きます。見た目だけでなく、リードドライバーが変わり、次ターンの行動順も変わることがあります。
tutorial.crash-understeer.title,Understeer and Crashes,アンダーステアとクラッシュ
tutorial.crash-understeer.body,"Understeer means the car is going too fast to hold the corner, so it slides wide instead of following the line. If the mistake is severe, it can become a crash or spin-off. Brake early or use cornering cards to stay in control.",アンダーステアは速度が高すぎて曲がりきれず、ラインに沿わず外へ膨らむ状態です。大きなミスならクラッシュやスピンオフになります。早めのブレーキやコーナリングカードで制御しましょう。
